from_currency,to_currency,exchange_rate,timestamp
EUR,USD,1.0797,2025-03-25T23:20:03.434381
USD,EGP,50.52,2025-03-25T23:20:07.950344
EUR,EGP,54.5716,2025-03-25T23:20:11.826035
