Metric,Value
Currency Pair,USD_EGP
Date Range,2014 - 2025
Total Years,12
Average Yearly Change (%),-12.25%
Highest Yearly Change (%),11.62%
Lowest Yearly Change (%),-56.50%
Most Volatile Year,2024
Highest Price,51.1300
Lowest Price,7.1300
Average Trading Range (%),30.72%
