From_Currency,To_Currency,Exchange_Rate,Last_Refreshed,Bid_Price,Ask_Price
USD,EGP,50.63,2025-03-08 20:33:16,50.629,50.632
USD,EGP,50.63,2025-03-08 20:33:16,50.629,50.632
